Country,Date,Round,Coordinates,Region
Germany,2025-04-03,1,"51.1018522826808,10.627693975951331",Thüringen
Canada,2025-04-03,2,"50.021186429949708,-96.883958983644433",Manitoba
Greece,2025-04-03,3,"40.499933115819672,23.414272670370057","Central Macedonia"
Australia,2025-04-03,4,"-27.451484041051323,151.94022637817145",Queensland
Brazil,2025-04-03,5,"-10.168703740034216,-67.735580045410288",Acre
Slovakia,2025-04-04,1,"47.98449100591742,17.988584128614988","Nitriansky kraj"
Chile,2025-04-04,2,"-35.980668828169755,-72.309562480867228",Maule
Ukraine,2025-04-04,3,"51.227815490796047,33.173744492715251","Sums'ka oblast"
Argentina,2025-04-04,4,"-34.613999583451992,-60.497263056361561","Provincia de Buenos Aires"
Indonesia,2025-04-04,5,"-5.83671029116255,112.66256890881026","Jawa Timur"
Mexico,2025-04-05,1,"20.30511245260773,-102.83102330817944",Jalisco
Sweden,2025-04-05,2,"65.536979545635248,17.526481320445143","Västerbottens län"
Poland,2025-04-05,3,"53.141855920366872,16.735260690437482","Województwo wielkopolskie"
Jordan,2025-04-05,4,"31.8821515986263,35.925563551846579","Amman Governorate"
Hungary,2025-04-05,5,"46.798235476317082,19.099830733661364",Bács-Kiskun
Malaysia,2025-04-06,1,"3.1974864612402922,113.05559908099551",Sarawak
Japan,2025-04-06,2,"26.611078499009,127.97539575473719",Okinawa
Brazil,2025-04-06,3,"-20.307522207871365,-49.732260294183618","São Paulo"
Chile,2025-04-06,4,"-37.276050211746757,-72.711657607814445","Bío Bío"
"South Africa",2025-04-06,5,"-31.672052205255035,18.500476497688673","Western Cape"
"United States",2025-04-07,1,"47.529240657439651,-92.542063499583989",Minnesota
Uruguay,2025-04-07,2,"-34.171988855496956,-54.784445187125804","Departamento de Lavalleja"
Austria,2025-04-07,3,"47.810349747350976,16.222445279161608",Niederösterreich
Russia,2025-04-07,4,"51.265623198383679,58.429459918850618","Orenburg Oblast"
Philippines,2025-04-07,5,"7.6537128647929551,126.07442975038829","Davao de Oro"
Montenegro,2025-04-08,1,"42.155581604072985,19.209194892499646","Opština Bar"
"New Zealand",2025-04-08,2,"-43.821632485152506,171.82239970746275","Canterbury Region"
Bolivia,2025-04-08,3,"-16.569898843054975,-68.232000298195942","Departamento de La Paz"
Finland,2025-04-08,4,"63.327632137054522,30.157504239200865",Pohjois-Karjala
Botswana,2025-04-08,5,"-21.344642143301137,25.428563471992472","Central District"
Croatia,2025-04-09,1,"44.083072385386309,15.179618489720342","Zadarska županija"
Indonesia,2025-04-09,2,"-8.775382462038559,116.39440963828922","West Nusa Tenggara"
Romania,2025-04-09,3,"45.370174312857017,21.709866281432163","Județul Caraș-Severin"
Argentina,2025-04-09,4,"-30.753390683465753,-59.570682637186927","Entre Ríos"
Canada,2025-04-09,5,"54.469789475894238,-110.19580529575595",Alberta
"Costa Rica",2025-04-10,1,"9.9327539832736615,-84.098316404708015","San José Province"
Ecuador,2025-04-10,2,"-1.9169773080207229,-80.0173600043045",Guayas
Brazil,2025-04-10,3,"-30.8452750316521,-51.792164053036792","Rio Grande do Sul"
Nigeria,2025-04-10,4,"7.0865777897363946,4.8290862711688751",Ondo
Malta,2025-04-10,5,"36.034348731925036,14.320799515752404",Malta
Russia,2025-04-11,1,"43.74493225002167,43.208253423634893","Kabardino-Balkarian Republic"
Kenya,2025-04-11,2,"-0.800616554168212,34.723852463932978","Kisii County"
Botswana,2025-04-11,3,"-24.662763590843451,25.784051415140723","Kweneng District"
Denmark,2025-04-11,4,"57.374639764220817,9.7156305923510988","North Denmark Region"
Thailand,2025-04-11,5,"17.407895941142549,104.77761233227692","Chang Wat Nakhon Phanom"
"United States",2025-04-12,1,"19.109383169229204,-155.756298932608",Hawaii
Finland,2025-04-12,2,"64.814205899965756,25.421145364891824",Pohjois-Pohjanmaa
Ukraine,2025-04-12,3,"50.404003752924453,25.753040550885384","Rivnens'ka oblast"
Kazakhstan,2025-04-12,4,"51.132188611873964,71.490542306940753",Astana
Panama,2025-04-12,5,"8.9225701999666551,-79.692854834083192","Provincia de Panamá Oeste"
Oman,2025-04-13,1,"17.053623061022577,54.381776661281","Dhofar Governorate"
Australia,2025-04-13,2,"-15.471014747102878,145.25372976873996",Queensland
Philippines,2025-04-13,3,"9.8022787105072187,118.73650800466592",Palawan
India,2025-04-13,4,"31.312411226643736,75.578991206840527",Punjab
Kyrgyzstan,2025-04-13,5,"40.517397568487866,72.7894226280615","Osh City"
"United Arab Emirates",2025-04-14,1,"25.406196362137283,55.54315614309516",Ajman
Peru,2025-04-14,2,"-3.5070970717053713,-80.280586559862272",Tumbes
Portugal,2025-04-14,3,"38.670512761990452,-27.229869909120556",Açores
Bangladesh,2025-04-14,4,"24.461855481939512,89.690167592885189","Rajshahi Division"
Germany,2025-04-14,5,"49.453666773443942,11.8522029759102",Bayern
Canada,2025-04-15,1,"47.435490645103,-53.097161978623532","Newfoundland and Labrador"
Argentina,2025-04-15,2,"-33.138098787387335,-62.960502071348763",Córdoba
Lithuania,2025-04-15,3,"54.782799135756143,23.191439364823388","Marijampolės apskritis"
Cambodia,2025-04-15,4,"11.252856090897813,105.28912210762091","Prey Veng Province"
Australia,2025-04-15,5,"-28.383963295700461,114.43418146562588","Western Australia"
"South Africa",2025-04-16,1,"-31.068069020077154,24.449987512652395","Northern Cape"
Portugal,2025-04-16,2,"37.979404077906935,-7.8946856946946111",Beja
"United Kingdom",2025-04-16,3,"51.2642291881502,1.3377208216190952",Kent
Türkiye,2025-04-16,4,"37.216170824954858,36.749703150057719",Gaziantep
Colombia,2025-04-16,5,"1.0881746765665041,-76.834788492421666",Putumayo
Greenland,2025-04-17,1,"64.193623669914388,-51.707251186890417","Sermersooq Kommune"
Kenya,2025-04-17,2,"-1.067546657267181,37.102494502789696","Kiambu County"
Peru,2025-04-17,3,"-11.110965645358156,-77.180325712408532","Gobierno Regional de Lima"
Luxembourg,2025-04-17,4,"50.0203297650752,5.9087944546058964",Clervaux
Russia,2025-04-17,5,"56.097920787312937,47.081831747134",Chuvashia
"United States",2025-04-18,1,"41.186634780888895,-121.13865414261983",California
Indonesia,2025-04-18,2,"1.47942559750138,125.19969418105477","North Sulawesi"
Spain,2025-04-18,3,"42.681883263323527,-2.0520778574672094",Navarra
Greece,2025-04-18,4,"35.496073912028507,23.67978407615772",Crete
Austria,2025-04-18,5,"47.380881361877478,11.859317587591809",Tirol
Canada,2025-04-19,1,"48.811232182856287,-87.2653016439724",Ontario
Mexico,2025-04-19,2,"17.966969483609169,-92.968162265340169",Tabasco
Taiwan,2025-04-19,3,"24.448986853288162,118.43299971816452",Taiwan
Italy,2025-04-19,4,"45.645749941689409,11.543475282024053",Veneto
Lesotho,2025-04-19,5,"-29.794728003946457,27.2615698504689",Mafeteng
Japan,2025-04-20,1,"43.665217030434022,143.55255517249603",Hokkaido
Norway,2025-04-20,2,"60.812156583430848,11.152343787095989",Innlandet
Ghana,2025-04-20,3,"10.034122942793626,-2.5161112446530285","Upper West Region"
Italy,2025-04-20,4,"44.661264578824515,8.2791035020601864",Piemonte
Poland,2025-04-20,5,"50.762480857512919,16.594325102395331","Województwo dolnośląskie"
Mexico,2025-04-21,1,"22.794810597855133,-103.52260941470361",Zacatecas
Argentina,2025-04-21,2,"-34.743521572537453,-68.2269748092141",Mendoza
Brazil,2025-04-21,3,"-2.5346552850635087,-54.682529530305565",Pará
Philippines,2025-04-21,4,"9.6522422526852925,125.59116216950612","Surigao del Norte"
France,2025-04-21,5,"43.740520163513324,7.3944647717953726","Provence-Alpes-Côte d'Azur"
Finland,2025-04-22,1,"60.495673192799913,26.540841361892497",Kymenlaakso
Brazil,2025-04-22,2,"-9.2558463124905863,-64.430088754533315",Rondônia
Germany,2025-04-22,3,"53.307810686210324,11.491326914080945",Mecklenburg-Vorpommern
India,2025-04-22,4,"21.261900654926524,81.607411116343755",Chhattisgarh
Kenya,2025-04-22,5,"0.47832114057050018,35.800538335282127","Baringo County"
Chile,2025-04-23,1,"-45.416081037065652,-72.687698205194508",Aysén
Poland,2025-04-23,2,"52.701543627747164,16.413477143865752","Województwo wielkopolskie"
Russia,2025-04-23,3,"54.900035427852039,71.2620458027605","Omskaya oblast'"
Indonesia,2025-04-23,4,"-1.8497731955971435,106.09499126593396","Bangka Belitung Islands"
"Faroe Islands",2025-04-23,5,"62.034771537308707,-6.7760050597492487",Streymoyar
Spain,2025-04-24,1,"39.565362136347794,3.2124958535140897","Illes Balears"
Croatia,2025-04-24,2,"45.153975218258367,18.01490619382772","Brodsko-posavska županija"
Rwanda,2025-04-24,3,"-1.9312244391753903,30.074870141235266","Kigali City"
"US Virgin Islands",2025-04-24,4,"18.327786004948489,-64.787340373135009","St. John"
Thailand,2025-04-24,5,"7.8784035571053144,98.366827497621244","Chang Wat Phuket"
Estonia,2025-04-25,1,"58.8306716255427,22.757288806649335","Hiiu maakond"
Bulgaria,2025-04-25,2,"42.163361609947643,27.844148994563096",Burgas
Colombia,2025-04-25,3,"11.716824074127718,-72.2925705519015","La Guajira"
Nigeria,2025-04-25,4,"7.8567594144229291,9.7747332457769982",Taraba
Kyrgyzstan,2025-04-25,5,"42.860331295809807,74.691447756064278","Bishkek City"
"United States",2025-04-26,1,"38.602721271241265,-86.103339052614032",Indiana
"South Korea",2025-04-26,2,"37.663860933403392,126.85017933991567",Gyeonggi-do
"Sri Lanka",2025-04-26,3,"7.2443657674355313,80.363873487952716","Sabaragamuwa Province"
France,2025-04-26,4,"46.546088365528917,2.354082698580894","Centre-Val de Loire"
Slovenia,2025-04-26,5,"46.439404666114704,15.868723346031748",Ptuj
"United Kingdom",2025-04-27,1,"57.371797246830091,-2.0680090351213773",Aberdeenshire
Türkiye,2025-04-27,2,"38.7571097357118,41.548304145663508",Muş
Malaysia,2025-04-27,3,"5.96633345842664,116.12005044584181",Sabah
"United Arab Emirates",2025-04-27,4,"24.93867636766284,55.108660087206417",Dubai
Argentina,2025-04-27,5,"-40.8323092403937,-63.007563891963187","Río Negro"
"United States",2025-04-28,1,"39.278186623658321,-100.94925914977085",Kansas
Australia,2025-04-28,2,"-33.789423851579649,151.145709153828","New South Wales"
Belgium,2025-04-28,3,"49.997861968290252,4.9932746202210661","Région wallonne"
Germany,2025-04-28,4,"49.648130342969374,8.5040224808259239",Hessen
"United States",2025-04-28,5,"47.650624717755719,-122.35487648356465",Washington
Curaçao,2025-04-29,1,"12.096628141749179,-68.892771217428248",Curaçao
Ukraine,2025-04-29,2,"49.269095858988592,28.47639661767402","Vinnyts'ka oblast"
Kazakhstan,2025-04-29,3,"47.073173315736476,51.88031221173663","Atyrau Region"
Austria,2025-04-29,4,"48.368552497839005,14.536703739613596",Oberösterreich
Sweden,2025-04-29,5,"62.515075630865354,15.692175491212943","Västernorrlands län"
"United Kingdom",2025-04-30,1,"50.969957810076345,-3.226905687657784",Somerset
Ireland,2025-04-30,2,"52.306446072317989,-9.7395937361666451","County Kerry"
Indonesia,2025-04-30,3,"-3.6084406782343121,115.92136522928402","Kalimantan Selatan"
Peru,2025-04-30,4,"-7.1650320439675221,-78.479110123033507",Cajamarca
Mexico,2025-04-30,5,"24.063783915443405,-110.29840873083884","Baja California Sur"
Canada,2025-05-01,1,"54.221833544395452,-125.72346158041059","British Columbia"
Bangladesh,2025-05-01,2,"21.432723817717683,92.024894645606821","Chittagong Division"
India,2025-05-01,3,"20.49527968533241,85.972800620981616",Odisha
Bolivia,2025-05-01,4,"-17.604283332855822,-65.928201810551258","Departamento de Cochabamba"
Croatia,2025-05-01,5,"45.445127535876956,13.518074730931612","Istarska županija"
Germany,2025-05-02,1,"51.648069761298316,7.773669970019002",Nordrhein-Westfalen
"New Zealand",2025-05-02,2,"-37.827655773146247,175.72535297184152","Waikato Region"
Thailand,2025-05-02,3,"13.709720828788649,100.61350302659511","Krung Thep Maha Nakhon"
Poland,2025-05-02,4,"53.802194074353608,22.376405844876466","Województwo warmińsko-mazurskie"
"South Africa",2025-05-02,5,"-33.792280265167257,25.42823589168437","Eastern Cape"
Spain,2025-05-03,1,"43.301460607298225,-7.6814746671986232",Galicia
France,2025-05-03,2,"48.748702975309449,0.644145175669827",Normandie
Taiwan,2025-05-03,3,"24.81734629229436,121.75856886869705","Yilan County"
Mongolia,2025-05-03,4,"48.746033049317887,98.2702051124354",Zavkhan
Chile,2025-05-03,5,"-20.504197714548397,-69.3488350345002",Tarapacá
Senegal,2025-05-04,1,"14.534149222275518,-16.620231609769487","Thiès Region"
Russia,2025-05-04,2,"51.876663657800322,107.76240952864889","Respublika Buryatiya"
Hungary,2025-05-04,3,"46.774637647908946,17.258782470469413","Zala County"
Australia,2025-05-04,4,"-38.1195505809573,141.63048123144813",Victoria
Panama,2025-05-04,5,"7.9647877441584161,-80.444220013510446","Provincia de Herrera"
Colombia,2025-05-05,1,"5.772867857040386,-72.94206967922895",Boyacá
Cambodia,2025-05-05,2,"10.642371540444046,103.5134455841077",Sihanoukville
Latvia,2025-05-05,3,"56.556838633631713,27.722559651899019","Ludzas novads"
Netherlands,2025-05-05,4,"53.181951569800468,6.7547962869829377",Groningen
Guatemala,2025-05-05,5,"14.850104457538261,-91.529433785306182",Quetzaltenango
Kenya,2025-05-06,1,"-4.3089499145847459,39.561872865103318","Kwale County"
Belgium,2025-05-06,2,"50.606511267824445,3.3498496473386727","Région wallonne"
Italy,2025-05-06,3,"40.750962549281056,15.485369255376817",Basilicata
Botswana,2025-05-06,4,"-20.218902929839611,24.256244137020492","North-West District"
"Dominican Republic",2025-05-06,5,"18.505097249810333,-69.9522538897519","Distrito Nacional"
Poland,2025-05-07,1,"53.320739062018255,15.028157299484787","Województwo zachodniopomorskie"
Romania,2025-05-07,2,"46.547011484361846,23.795757692809971","Județul Cluj"
Brazil,2025-05-07,3,"-22.723203921923723,-42.867064388725048","Rio de Janeiro"
Canada,2025-05-07,4,"52.163393437543327,-101.2515552165451",Manitoba
Philippines,2025-05-07,5,"14.090774067062876,122.95278597093321","Camarines Norte"
Taiwan,2025-05-08,1,"23.58250390083511,119.67842006535712","Penghu County"
Nigeria,2025-05-08,2,"6.4563804657389774,3.2721865695003722",Lagos
Spain,2025-05-08,3,"39.576319252326542,-1.2313496520262648","Comunidad Valenciana"
"United States",2025-05-08,4,"43.357451203147619,-99.850308670259267","South Dakota"
Australia,2025-05-08,5,"-23.722342249105111,133.88205265132808","Northern Territory"
Switzerland,2025-05-09,1,"47.200353178531294,7.5269436616294181",Solothurn
Czechia,2025-05-09,2,"50.055978786875009,12.365277218208496","Karlovarský kraj"
Canada,2025-05-09,3,"54.762031214204406,-112.0220768848538",Alberta
Indonesia,2025-05-09,4,"-5.1402838661111572,105.28747520245463",Lampung
Albania,2025-05-09,5,"39.851474480956909,20.022414277376154","Vlorë County"
Russia,2025-05-10,1,"55.018782504738468,60.111717738827217","Chelyabinskaya oblast'"
Lebanon,2025-05-10,2,"33.973596257385239,35.617115548058784","Mount Lebanon Governorate"
Türkiye,2025-05-10,3,"38.857577870690633,35.813172760877265",Kayseri
Uruguay,2025-05-10,4,"-31.711154053933239,-55.894907334997434","Departamento de Tacuarembó"
Netherlands,2025-05-10,5,"51.517502540966944,4.5113669956334794",Noord-Brabant
Peru,2025-05-11,1,"-9.5247132073489951,-77.54632344504499",Áncash
Bulgaria,2025-05-11,2,"42.5059738816999,26.480115349476993",Jambol
"United Kingdom",2025-05-11,3,"51.455142159928592,-3.1958878950741787","Vale of Glamorgan"
Tunisia,2025-05-11,4,"35.754148435875038,10.72254345963581","Monastir Governorate"
Malaysia,2025-05-11,5,"1.1622252232091679,110.55126405842591",Sarawak
Russia,2025-05-12,1,"54.05856911593122,86.707891336777109","Kemerovo Oblast"
Spain,2025-05-12,2,"42.531719452276626,-6.5759067825358981","Castilla y León"
"United States",2025-05-12,3,"48.597910016694023,-113.01611657901961",Montana
Indonesia,2025-05-12,4,"-0.58404528936866884,100.11696743175172","Sumatera Barat"
Brazil,2025-05-12,5,"-16.36636560723743,-46.821128664894466","Minas Gerais"
Iceland,2025-05-13,1,"63.94512724425352,-21.029547755070833","Sveitarfélagið Ölfus"
Greece,2025-05-13,2,"38.387191970703483,21.430517868693912","Western Greece"
Serbia,2025-05-13,3,"45.759741512102664,19.13423752148363","Zapadnobački okrug"
Japan,2025-05-13,4,"40.34631955724609,141.14803323976761",Aomori
Bangladesh,2025-05-13,5,"24.835128162046686,89.358818579312654","Rajshahi Division"
Lithuania,2025-05-14,1,"54.6422779546633,24.934134157506364","Vilniaus apskritis"
Finland,2025-05-14,2,"62.5453433708556,24.057212682574946",Etelä-Pohjanmaa
"South Africa",2025-05-14,3,"-29.192041701675681,31.404589360721459",KwaZulu-Natal
Palestine,2025-05-14,4,"31.930607726838296,35.217288447517738",Palestine
Ukraine,2025-05-14,5,"48.668458899334567,22.366579509613938","Zakarpats'ka oblast"
Austria,2025-05-15,1,"46.619047007249883,13.808021431663914",Kärnten
Uruguay,2025-05-15,2,"-34.622422922540942,-54.1600862789807","Departamento de Rocha"
Mexico,2025-05-15,3,"25.482365294652475,-100.92994866025211","Coahuila de Zaragoza"
Italy,2025-05-15,4,"41.487004666255835,12.677808679961812",Lazio
Ghana,2025-05-15,5,"5.62794530028186,-0.016325041858093938","Greater Accra Region"
"New Zealand",2025-05-16,1,"-45.438497447873537,167.70717232354519","Southland Region"
Brazil,2025-05-16,2,"-20.478278754855577,-41.395320339879127","Espírito Santo"
Nigeria,2025-05-16,3,"8.45298949472782,4.55761287729159",Kwara
Poland,2025-05-16,4,"49.95629787963675,20.43791810147475","Województwo małopolskie"
"Hong Kong",2025-05-16,5,"22.533297286480924,114.15216109884869","New Territories"
"United States",2025-05-17,1,"40.922452102797564,-117.76453100302224",Nevada
"São Tomé og Príncipe",2025-05-17,2,"0.33683941562960956,6.7346709486823606","Água Grande"
Greenland,2025-05-17,3,"68.7053633265761,-52.874449722432111",Kitaa
France,2025-05-17,4,"44.86471698401413,0.53455250310213442",Nouvelle-Aquitaine
Türkiye,2025-05-17,5,"41.430195117659345,33.816483581245429",Kastamonu
Thailand,2025-05-18,1,"14.654344516610381,104.65639099000278","Si Sa Ket"
Kazakhstan,2025-05-18,2,"44.8788393927806,65.519790037325222","Kyzylorda Region"
Slovakia,2025-05-18,3,"49.193604867965561,18.727468376236125","Žilinský kraj"
Colombia,2025-05-18,4,"9.3364948780799146,-75.408848561892029",Sucre
Oman,2025-05-18,5,"23.650667107131397,58.08965832380629","Muscat Governorate"
Ukraine,2025-05-19,1,"49.379291476137517,32.038977941774355","Cherkas'ka oblast"
Israel,2025-05-19,2,"31.783917026000658,34.664474286914121","South District"
"Sri Lanka",2025-05-19,3,"6.4342101758533836,81.3225273357706","Uva Province"
Cambodia,2025-05-19,4,"13.390650165503969,103.78255192457574","Siem Reap Province"
Argentina,2025-05-19,5,"-36.808606320784953,-59.8904501775557","Provincia de Buenos Aires"
Bolivia,2025-05-20,1,"-17.95689794377266,-67.120306809470179","Departamento de Oruro"
"North Macedonia",2025-05-20,2,"42.121989022094162,21.684971353361124","Municipality of Kumanovo"
Qatar,2025-05-20,3,"25.290664586888141,51.409088910347307","Al Rayyan Municipality"
Indonesia,2025-05-20,4,"-8.211957188034436,111.10489774422422","Jawa Timur"
Portugal,2025-05-20,5,"39.361856652716305,-9.1560179751848",Leiria
"United States",2025-05-21,1,"29.640549393602246,-90.740522152756455",Louisiana
Croatia,2025-05-21,2,"46.393169603261974,16.468022936713535","Međimurska županija"
Eswatini,2025-05-21,3,"-26.329714545032349,31.109289914909585","Hhohho Region"
"Pitcairn Islands",2025-05-21,4,"-25.068353510442538,-130.11306641392923","Pitcairn Islands"
"United Kingdom",2025-05-21,5,"57.457416528136484,-4.2418231649133311","Highland Council"
Tunisia,2025-05-22,1,"37.268167450375216,9.8619421537175622","Gouvernorat de Bizerte"
Ireland,2025-05-22,2,"52.675186889821646,-6.3077070979761523","County Wexford"
"South Korea",2025-05-22,3,"35.829231592635033,127.14443248828319","Jeonbuk State"
Norway,2025-05-22,4,"63.303915607591044,9.841422344500474",Trøndelag
Thailand,2025-05-22,5,"16.455407904555184,102.82239221134188","Chang Wat Khon Kaen"
Russia,2025-05-23,1,"51.723994021868577,36.1021233153666","Kurskaya oblast'"
Sweden,2025-05-23,2,"56.906428928284143,12.497689046084165","Hallands län"
Canada,2025-05-23,3,"60.5944186001465,-134.90117954297159",Yukon
Chile,2025-05-23,4,"-41.893153389674204,-73.814580804610571","Los Lagos"
"South Africa",2025-05-23,5,"-33.633507313423159,22.217875822198138","Western Cape"
Senegal,2025-05-24,1,"14.810608817836849,-17.183149576708715","Région de Dakar"
Ecuador,2025-05-24,2,"0.95249065820478518,-79.669829300809056",Esmeraldas
Australia,2025-05-24,3,"-35.177801586512693,147.31556437052342","New South Wales"
Hungary,2025-05-24,4,"48.212859244362036,20.290841672877963",Borsod-Abaúj-Zemplén
Uganda,2025-05-24,5,"0.071924592796478268,32.466402318768282","Central Region"
Kazakhstan,2025-05-25,1,"43.341413948495187,76.816327123645365",Almaty
Greece,2025-05-25,2,"36.419058964495463,28.226524843999218","Southern Aegean"
Latvia,2025-05-25,3,"56.897271892525296,24.042782954859661","Mārupes novads"
Estonia,2025-05-25,4,"58.737494885198416,26.396419167215633","Jõgeva maakond"
Chile,2025-05-25,5,"-53.145686473404261,-70.928773584220409","Magallanes y la Antártica Chilena"
Belgium,2025-05-26,1,"51.449307014822338,4.9310068426504809",Vlaanderen
Bolivia,2025-05-26,2,"-16.469135336945673,-68.18001917465304","Departamento de La Paz"
Brazil,2025-05-26,3,"-3.6977445451174558,-40.317793169142583",Ceará
Japan,2025-05-26,4,"45.396246568307291,141.7188691184019",Hokkaido
Iceland,2025-05-26,5,"65.275964144232049,-14.41397987718751",Múlaþing
Germany,2025-05-27,1,"53.686368315111764,7.8063738231021969",Niedersachsen
Brazil,2025-05-27,2,"-27.677886726000576,-48.6426264403702","Santa Catarina"
Panama,2025-05-27,3,"8.0815137393751968,-80.984748309901619","Provincia de Veraguas"
Norway,2025-05-27,4,"58.021801795417488,7.4531171232529",Agder
Lesotho,2025-05-27,5,"-29.135176182539542,27.7363380043015",Berea
Peru,2025-05-28,1,"-14.078384269935343,-75.752575274442009",Ica
"Puerto Rico",2025-05-28,2,"18.099864932552446,-65.800292890214081",Humacao
"American Samoa",2025-05-28,3,"-14.329659053302059,-170.72388737200083","Western District"
France,2025-05-28,4,"48.537262369799947,2.6230753276516361",Île-de-France
Bangladesh,2025-05-28,5,"24.8641787300102,91.868622429074719","Sylhet Division"
Ireland,2025-05-29,1,"53.342850421239142,-8.2197869768288854","County Galway"
Denmark,2025-05-29,2,"55.0540998661723,15.098093134625653","Capital Region of Denmark"
"United Arab Emirates",2025-05-29,3,"25.819186302939261,56.03220053220285","Ras Al Khaimah"
Peru,2025-05-29,4,"-4.9479630561286223,-80.69682742959138",Piura
"South Africa",2025-05-29,5,"-27.952287070103115,26.831826258790517","Free State"
Taiwan,2025-05-30,1,"23.861357551182028,121.54780072540849","Hualien County"
Indonesia,2025-05-30,2,"1.7182627110324971,98.805494547179052","Sumatera Utara"
Philippines,2025-05-30,3,"10.748435993858628,121.97813319608328",Antique
"United States",2025-05-30,4,"37.576557289187015,-120.89269156689132",California
Iceland,2025-05-30,5,"64.00962411771674,-22.577869216141739",Reykjanesbær
Ukraine,2025-05-31,1,"49.5872242842134,25.545394883713453","Ternopil's'ka oblast"
Nigeria,2025-05-31,2,"5.0100112932269782,7.891050001978491","Akwa Ibom"
Cambodia,2025-05-31,3,"11.482802245648045,104.9475675987038","Kandal Province"
"Svalbard and Jan Mayen",2025-05-31,4,"78.220466888168218,15.651182819181546",Svalbard
Mexico,2025-05-31,5,"27.926865171860989,-110.88367694287885",Sonora
"United Kingdom",2025-06-01,1,"52.414257676816305,-1.8973363327575457","West Midlands"
Brazil,2025-06-01,2,"-10.23798608084933,-48.319511762329228",Tocantins
Bulgaria,2025-06-01,3,"42.593098239795189,23.032152336749004",Pernik
Indonesia,2025-06-01,4,"-1.2386405785305796,116.84477066536265","Kalimantan Timur"
Bhutan,2025-06-01,5,"26.879867773026994,90.49455104197699",Sarpang
Malaysia,2025-06-02,1,"4.209370488280749,100.69086384897849",Perak
France,2025-06-02,2,"46.294302961937511,4.8241826193764439",Bourgogne-Franche-Comté
Denmark,2025-06-02,3,"55.966807414884812,11.886710167840333","Capital Region of Denmark"
Mexico,2025-06-02,4,"26.035521452865829,-98.2804820394538",Tamaulipas
Romania,2025-06-02,5,"46.603690666027852,25.087920311739804","Județul Mureș"
Canada,2025-06-03,1,"53.313337038356373,-60.2901203374734","Newfoundland and Labrador"
Singapore,2025-06-03,2,"1.3822037470071344,103.94513933817008",Singapore
Poland,2025-06-03,3,"53.708192490051069,19.986637611356112","Województwo warmińsko-mazurskie"
Norway,2025-06-03,4,"67.265626422836533,15.416623410939605",Nordland
Argentina,2025-06-03,5,"-45.868300360804319,-67.561912724341454",Chubut
Russia,2025-06-04,1,"68.146449843551423,33.243097249872626","Murmanskaya oblast'"
Thailand,2025-06-04,2,"16.727095187297945,98.580197862148609","Chang Wat Tak"
"South Africa",2025-06-04,3,"-25.987893454973573,28.174018693650709",Gauteng
"Christmas Island",2025-06-04,4,"-10.420938820319719,105.67748179112273","Shire of Christmas Island"
Spain,2025-06-04,5,"39.864569100212535,-4.0505046294689109","Castilla-La Mancha"
Malaysia,2025-06-05,1,"2.1192572683232509,111.5260599884775",Sarawak
Senegal,2025-06-05,2,"12.549661544390073,-16.258316631426514","Ziguinchor Region"
Chile,2025-06-05,3,"-22.92071283070992,-68.206219788595362",Antofagasta
"United Kingdom",2025-06-05,4,"60.001498259851957,-1.2326223472323758","Shetland Islands"
"United States",2025-06-05,5,"40.865113201093962,-97.604383625738919",Nebraska
Switzerland,2025-06-06,1,"46.283036542923305,6.1617599173761448",Genève
France,2025-06-06,2,"48.581587790926825,-3.8558825769336282",Bretagne
Australia,2025-06-06,3,"-28.540665327732938,150.27674524288736",Queensland
Mongolia,2025-06-06,4,"49.472529024598217,105.95330207119385",Darkhan-Uul
"South Korea",2025-06-06,5,"38.1883078904693,128.58447840759237",Gangwon-do
Namibia,2025-06-07,1,"-22.963118398949607,14.532730095127711","Erongo Region"
Austria,2025-06-07,2,"47.913613785605,13.789556994481487",Oberösterreich
Kazakhstan,2025-06-07,3,"42.847047452803324,71.38826749147465","Jambıl oblısı"
Germany,2025-06-07,4,"52.089425997461852,11.612939831826202",Sachsen-Anhalt
Brazil,2025-06-07,5,"-5.3240188952064,-49.107021359202157",Pará
Mexico,2025-06-08,1,"21.122336429816741,-86.865051707586431","Quintana Roo"
Peru,2025-06-08,2,"-4.2743792226467017,-81.212954117723086",Piura
Canada,2025-06-08,3,"51.118906101948212,-106.59989429230235",Saskatchewan
France,2025-06-08,4,"43.060403247002348,2.2179763338426537",Occitanie
Kenya,2025-06-08,5,"-0.13185381892157452,34.743982881996644","Kisumu County"
Bolivia,2025-06-09,1,"-17.79279418388413,-63.10852965844883","Departamento de Santa Cruz"
Czechia,2025-06-09,2,"49.681791712063479,13.985798982535595","Středočeský kraj"
Åland,2025-06-09,3,"60.231404377304941,19.999812876119687","Ålands landsbygd"
Türkiye,2025-06-09,4,"41.015403828942006,40.515576278312189",Rize
France,2025-06-09,5,"43.091250674523927,-0.055936693337465225",Occitanie
Lithuania,2025-06-10,1,"56.291967426844664,22.336665300579366","Telšių apskritis"
Oman,2025-06-10,2,"22.56418822034475,59.531981817365008","Ash Sharqiyah South Governorate"
Jordan,2025-06-10,3,"30.325824623920191,35.468275702126704","Ma'an Governorate"
Greece,2025-06-10,4,"40.861172618050539,25.893629222936333","East Macedonia and Thrace"
Brazil,2025-06-10,5,"-19.455183683494148,-42.546592366464857","Minas Gerais"
